Test,Year,GCAG,GISTEMP,emission,x,y
0,1950.0,-0.1616,-0.18,2838252,-0.029887021410229767,0.034840631704532846
1,1951.0,-0.013200000000000003,-0.07,2955038,-0.011622730548422689,0.03627422463928479
2,1952.0,0.0248,0.01,2976185,0.0016603900783460981,0.03653381217367418
3,1953.0,0.0952,0.08,3022454,0.013283120626768785,0.03710178189177427
4,1954.0,-0.1165,-0.13,3059886,-0.021585071018499276,0.03756127404608759
5,1955.0,-0.1354,-0.15,3230264,-0.024905851175191472,0.03965272933214214
6,1956.0,-0.199,-0.2,3357089,-0.03320780156692196,0.04120955484162029
7,1957.0,0.0488,0.04,3422928,0.006641560313384393,0.042017753814366454
8,1958.0,0.1095,0.07,3490842,0.011622730548422689,0.04285142420782751
9,1959.0,0.0596,0.03,3607093,0.004981170235038294,0.04427844981241923
10,1960.0,0.0204,-0.02,3732643,-0.0033207801566921963,0.04581962420796413
11,1961.0,0.0775,0.05,3731082,0.00830195039173049,0.04580046233435644
12,1962.0,0.0888,0.03,3818588,0.004981170235038294,0.04687463204090006
13,1963.0,0.1068,0.06,3964441,0.009962340470076589,0.04866503354717971
14,1964.0,-0.1495,-0.2,4101719,-0.03320780156692196,0.05035017364014357
15,1965.0,-0.078,-0.1,4234765,-0.01660390078346098,0.05198336431023251
16,1966.0,-0.0227,-0.05,4370162,-0.00830195039173049,0.05364541440687602
17,1967.0,-0.0131,-0.02,4465946,-0.0033207801566921963,0.054821199737842746
18,1968.0,-0.0296,-0.07,4641374,-0.011622730548422689,0.05697464571045645
19,1969.0,0.0929,0.07,4869613,0.011622730548422689,0.059776366959877175
20,1970.0,0.0372,0.02,5170394,0.0033207801566921963,0.0634685690774908
21,1971.0,-0.07829999999999998,-0.08999999999999998,5328580,-0.014943510705114882,0.06541036288819303
22,1972.0,0.0264,0.01,5523714,0.0016603900783460981,0.06780570756760568
23,1973.0,0.1641,0.15,5750259,0.024905851175191472,0.07058663431741627
24,1974.0,-0.0719,-0.07,5740553,-0.011622730548422689,0.07046748944538792
25,1975.0,0.0034,-0.02,5746436,-0.0033207801566921963,0.07053970552638346
26,1976.0,-0.0792,-0.11,5994352,-0.01826429086180708,0.0735829694964823
27,1977.0,0.1978,0.18,6126788,0.029887021410229767,0.07520867218265023
28,1978.0,0.1123,0.07,6310796,0.011622730548422689,0.07746744094549711
29,1979.0,0.2273,0.17,6449151,0.028226631331883672,0.07916580162646576
30,1980.0,0.2637,0.27,6430478,0.04483053211534466,0.07893658339079862
31,1981.0,0.2999,0.33,6298104,0.054792872585421246,0.07731164177840627
32,1982.0,0.1815,0.13,6272387,0.021585071018499276,0.0769959557415267
33,1983.0,0.3411,0.3,6325919,0.049811702350382944,0.07765308156982069
34,1984.0,0.149,0.15,6478085,0.024905851175191472,0.07952097757199103
35,1985.0,0.1342,0.12,6668104,0.019924680940153178,0.08185353366491852
36,1986.0,0.2296,0.19,6743136,0.031547411488575865,0.08277458023796928
37,1987.0,0.3696,0.33,6937037,0.054792872585421246,0.08515478936955471
38,1988.0,0.3757,0.41,7156244,0.06807599321219002,0.08784563935541063
39,1989.0,0.297,0.29,7247831,0.048151312272036846,0.08896990490192415
40,1990.0,0.4328,0.44,7090353,0.07305716344722832,0.08703680206272367
41,1991.0,0.4055,0.43,7256193,0.07139677336888223,0.08907255165855932
42,1992.0,0.2571,0.23,7248825,0.03818897180196026,0.08898210663310034
43,1993.0,0.2853,0.24,7321207,0.039849361880306355,0.0898706234399369
44,1994.0,0.3409,0.32,7354082,0.05313248250707514,0.09027417667174525
45,1995.0,0.4577,0.46,7486392,0.07637794360392051,0.09189833265959509
46,1996.0,0.3228,0.35,7666383,0.058113652742113435,0.09410779120701461
47,1997.0,0.5187,0.48,7700644,0.07969872376061271,0.09452835812032218
48,1998.0,0.6344,0.64,7681855,0.10626496501415028,0.0942977159401717
49,1999.0,0.4438,0.42,7793166,0.06973638329053612,0.09566410115038673
50,2000.0,0.4262,0.42,7996929,0.06973638329053612,0.09816537011382293
51,2001.0,0.5473,0.55,8063486,0.0913214543090354,0.09898238281190562
52,2002.0,0.6023,0.63,8221888,0.10460457493580419,0.1009268281054389
53,2003.0,0.6134,0.62,8581363,0.10294418485745808,0.10533952158085508
54,2004.0,0.5783,0.55,8927127,0.0913214543090354,0.1095839072734173
55,2005.0,0.6585,0.69,9187462,0.11456691540588076,0.11277961923091774
56,2006.0,0.6125,0.63,9463559,0.10460457493580419,0.11616881578278361
57,2007.0,0.61,0.66,9705374,0.10958574517084249,0.11913718763828891
58,2008.0,0.5419,0.54,9950911,0.08966106423068931,0.12215124847109582
59,2009.0,0.6367,0.64,9881249,0.10626496501415028,0.12129612070731687
60,2010.0,0.7014,0.71,10320998,0.11788769556257296,0.12669420831597056
61,2011.0,0.5788,0.6,10676099,0.09962340470076589,0.13105320926405808
62,2012.0,0.624,0.63,10855109,0.10460457493580419,0.13325062566028664
63,2013.0,0.6679,0.65,10894381,0.10792535509249639,0.13373270452019773
64,2014.0,0.7408,0.74,10979639,0.12286886579761126,0.13477927916468493
